f	power	dB
19.900000	0.000006	-52.407701
20.000000	0.000006	-52.259318
20.100000	0.000006	-52.108826
20.200000	0.000006	-51.956177
20.300000	0.000007	-51.801323
20.400000	0.000007	-51.644211
20.500000	0.000007	-51.484789
20.600000	0.000007	-51.323002
20.700000	0.000008	-51.158793
20.800000	0.000008	-50.992101
20.900000	0.000008	-50.822867
21.000000	0.000009	-50.651024
21.100000	0.000009	-50.476507
21.200000	0.000009	-50.299244
21.300000	0.000010	-50.119164
21.400000	0.000010	-49.936191
21.500000	0.000011	-49.750244
21.600000	0.000011	-49.561242
21.700000	0.000012	-49.369098
21.800000	0.000012	-49.173720
21.900000	0.000013	-48.975015
22.000000	0.000013	-48.772882
22.100000	0.000014	-48.567217
22.200000	0.000015	-48.357912
22.300000	0.000015	-48.144851
22.400000	0.000016	-47.927912
22.500000	0.000017	-47.706970
22.600000	0.000018	-47.481889
22.700000	0.000019	-47.252529
22.800000	0.000020	-47.018741
22.900000	0.000021	-46.780366
23.000000	0.000022	-46.537237
23.100000	0.000024	-46.289179
23.200000	0.000025	-46.036004
23.300000	0.000026	-45.777512
23.400000	0.000028	-45.513492
23.500000	0.000030	-45.243718
23.600000	0.000032	-44.967951
23.700000	0.000034	-44.685932
23.800000	0.000036	-44.397388
23.900000	0.000039	-44.102023
24.000000	0.000042	-43.799521
24.100000	0.000045	-43.489542
24.200000	0.000048	-43.171718
24.300000	0.000052	-42.845653
24.400000	0.000056	-42.510918
24.500000	0.000061	-42.167046
24.600000	0.000066	-41.813531
24.700000	0.000072	-41.449818
24.800000	0.000078	-41.075303
24.900000	0.000085	-40.689320
25.000000	0.000094	-40.291136
25.100000	0.000103	-39.879944
25.200000	0.000113	-39.454844
25.300000	0.000125	-39.014838
25.400000	0.000139	-38.558806
25.500000	0.000155	-38.085491
25.600000	0.000174	-37.593474
25.700000	0.000196	-37.081139
25.800000	0.000221	-36.546642
25.900000	0.000252	-35.987861
26.000000	0.000288	-35.402334
26.100000	0.000332	-34.787186
26.200000	0.000386	-34.139025
26.300000	0.000451	-33.453811
26.400000	0.000534	-32.726675
26.500000	0.000638	-31.951674
26.600000	0.000772	-31.121442
26.700000	0.000949	-30.226700
26.800000	0.001187	-29.255511
26.900000	0.001516	-28.192158
27.000000	0.001988	-27.015338
27.100000	0.002695	-25.695144
27.200000	0.003813	-24.187675
27.300000	0.005722	-22.424633
27.400000	0.009352	-20.291028
27.500000	0.017499	-17.569748
27.600000	0.041989	-13.768618
27.700000	0.185835	-7.308736
27.800000	3.206833	5.060763
27.900000	0.140564	-8.521269
28.000000	0.041097	-13.861914
28.100000	0.019782	-17.037405
28.200000	0.011848	-19.263428
28.300000	0.008029	-20.953385
28.400000	0.005892	-22.297260
28.500000	0.004573	-23.398007
28.600000	0.003700	-24.317590
28.700000	0.003093	-25.096109
28.800000	0.002654	-25.760922
28.900000	0.002327	-26.331446
29.000000	0.002079	-26.821877
29.100000	0.001887	-27.242831
29.200000	0.001737	-27.602370
29.300000	0.001619	-27.906675
29.400000	0.001527	-28.160497
29.500000	0.001456	-28.367467
29.600000	0.001403	-28.530306
29.700000	0.001364	-28.650982
29.800000	0.001339	-28.730800
29.900000	0.001327	-28.770471
30.000000	0.001327	-28.770147
30.100000	0.001340	-28.729424
30.200000	0.001365	-28.647325
